circuit;area;power;timing;ssim;compression
eta1_7_LOBA0_4;17672.307;629.168;2333.119;0.966176;0.460
eta1_7_LOBA1_4;61430.317;2262.350;25227.918;0.960103;0.457
eta1_7_LOBA2_4;62625.153;2312.100;25547.775;0.951476;0.804
eta1_8_LOBA0_4;17667.834;629.454;2336.362;0.966176;0.460
eta1_8_LOBA1_4;59631.157;2183.520;29843.441;0.960083;0.458
eta1_8_LOBA2_4;17661.247;629.471;2353.533;0.951714;0.788
eta1_9_LOBA0_4;17675.649;629.584;2333.531;0.966176;0.460
eta1_9_LOBA1_4;17671.963;629.190;2333.570;0.960077;0.457
eta1_9_LOBA2_4;17654.268;629.168;2349.978;0.951155;0.791
eta1_10_LOBA0_4;17674.568;629.625;2330.806;0.966164;0.460
eta1_10_LOBA1_4;17675.796;629.445;2335.829;0.960033;0.458
eta1_10_LOBA2_4;56805.507;2071.880;29985.145;0.950828;0.793
eta1_11_LOBA0_4;17675.010;629.888;2339.788;0.966174;0.459
eta1_11_LOBA1_4;17675.796;629.747;2333.939;0.960288;0.458
eta1_11_LOBA2_4;55906.812;2037.330;29119.475;0.951432;0.796
eta1_12_LOBA0_4;17678.057;629.798;2333.650;0.966358;0.460
eta1_12_LOBA1_4;17676.681;629.821;2334.590;0.960767;0.474
eta1_13_LOBA0_4;17672.995;629.050;2337.944;0.966733;0.472
eta1_13_LOBA1_4;17678.598;629.760;2331.860;0.960819;0.501
eta1_14_LOBA0_4;17669.505;629.440;2337.231;0.963550;0.542
eta1_14_LOBA1_4;17672.651;629.770;2335.340;0.958380;0.544
loa_6_LOBA0_4;17664.737;629.390;2341.635;0.966176;0.460
loa_6_LOBA1_4;17675.796;629.516;2333.837;0.960100;0.458
loa_6_LOBA2_4;17661.493;629.315;2337.607;0.951420;0.788
loa_7_LOBA0_4;17664.737;629.390;2341.635;0.966176;0.460
loa_7_LOBA1_4;17675.796;629.516;2333.837;0.960103;0.457
loa_7_LOBA2_4;17661.493;629.315;2337.607;0.951476;0.804
loa_8_LOBA0_4;17664.737;629.390;2341.635;0.966176;0.460
loa_8_LOBA1_4;17675.796;629.516;2333.837;0.960083;0.458
loa_8_LOBA2_4;17661.493;629.315;2337.607;0.951714;0.788
loa_9_LOBA0_4;17664.737;629.390;2341.635;0.966176;0.460
loa_9_LOBA1_4;17675.796;629.516;2333.837;0.960077;0.457
loa_9_LOBA2_4;17661.493;629.315;2337.607;0.951155;0.791
loa_10_LOBA0_4;17664.737;629.390;2341.635;0.966164;0.460
loa_10_LOBA1_4;17675.796;629.516;2333.837;0.960033;0.458
loa_10_LOBA2_4;17661.493;629.315;2337.607;0.950828;0.793
loa_11_LOBA0_4;17664.737;629.390;2341.635;0.966174;0.459
loa_11_LOBA1_4;17675.796;629.516;2333.837;0.960288;0.458
loa_11_LOBA2_4;17661.493;629.315;2337.607;0.951432;0.796
loa_12_LOBA0_4;17664.737;629.390;2341.635;0.966342;0.460
loa_12_LOBA1_4;17675.796;629.516;2333.837;0.960847;0.473
loa_12_LOBA2_4;17661.493;629.315;2337.607;0.950179;0.802
loa_13_LOBA0_4;17664.737;629.390;2341.635;0.966797;0.465
loa_13_LOBA1_4;17675.796;629.516;2333.837;0.960791;0.499
loa_14_LOBA0_4;17664.737;629.390;2341.635;0.963097;0.533
loa_14_LOBA1_4;17675.796;629.516;2333.837;0.958216;0.551
trunc0_6_LOBA0_4;17676.534;629.607;2340.959;0.966176;0.460
trunc0_6_LOBA1_4;17680.859;629.210;2340.383;0.960100;0.458
trunc0_6_LOBA2_4;62684.578;2316.210;26629.123;0.951338;0.788
trunc0_7_LOBA0_4;17676.534;629.607;2340.959;0.966176;0.460
trunc0_7_LOBA1_4;17680.859;629.210;2340.383;0.960103;0.457
trunc0_7_LOBA2_4;61278.388;2263.340;24570.109;0.951494;0.788
trunc0_8_LOBA0_4;17676.534;629.607;2340.959;0.966176;0.460
trunc0_8_LOBA1_4;17680.859;629.210;2340.383;0.960083;0.458
trunc0_8_LOBA2_4;59182.203;2176.820;23716.787;0.951671;0.788
trunc0_9_LOBA0_4;17676.534;629.607;2340.959;0.966176;0.460
trunc0_9_LOBA1_4;17680.859;629.210;2340.383;0.960077;0.457
trunc0_9_LOBA2_4;57630.671;2116.890;22830.957;0.951288;0.790
trunc0_10_LOBA0_4;17676.534;629.607;2340.959;0.966147;0.460
trunc0_10_LOBA1_4;17680.859;629.210;2340.383;0.960063;0.458
trunc0_10_LOBA2_4;54547.218;1992.230;19843.750;0.951057;0.792
trunc0_11_LOBA0_4;17676.534;629.607;2340.959;0.966166;0.459
trunc0_11_LOBA1_4;17680.859;629.210;2340.383;0.960308;0.455
trunc0_11_LOBA2_4;53452.751;1946.780;19390.041;0.951406;0.795
trunc0_12_LOBA0_4;17676.534;629.607;2340.959;0.966308;0.460
trunc0_12_LOBA1_4;17680.859;629.210;2340.383;0.960814;0.474
trunc0_13_LOBA0_4;17676.534;629.607;2340.959;0.966821;0.473
trunc0_13_LOBA1_4;17680.859;629.210;2340.383;0.960808;0.502
trunc0_14_LOBA0_4;17676.534;629.607;2340.959;0.963807;0.537
trunc0_14_LOBA1_4;17680.859;629.210;2340.383;0.958864;0.552
trunc1_6_LOBA0_4;17676.534;629.607;2340.959;0.966173;0.460
trunc1_6_LOBA1_4;17680.859;629.210;2340.383;0.960136;0.456
trunc1_6_LOBA2_4;62695.195;2317.280;26645.324;0.951463;0.788
trunc1_7_LOBA0_4;17676.534;629.607;2340.959;0.966173;0.460
trunc1_7_LOBA1_4;17680.859;629.210;2340.383;0.960124;0.457
trunc1_7_LOBA2_4;61436.854;2270.310;25851.557;0.951480;0.787
trunc1_8_LOBA0_4;17676.534;629.607;2340.959;0.966173;0.460
trunc1_8_LOBA1_4;17680.859;629.210;2340.383;0.959893;0.457
trunc1_8_LOBA2_4;59169.669;2173.680;23977.113;0.951723;0.788
trunc1_9_LOBA0_4;17676.534;629.607;2340.959;0.966173;0.460
trunc1_9_LOBA1_4;17680.859;629.210;2340.383;0.959891;0.457
trunc1_9_LOBA2_4;57746.768;2122.020;23179.746;0.951186;0.790
trunc1_10_LOBA0_4;17676.534;629.607;2340.959;0.966156;0.459
trunc1_10_LOBA1_4;17680.859;629.210;2340.383;0.959845;0.457
trunc1_10_LOBA2_4;54433.186;1985.970;21665.250;0.950817;0.794
trunc1_11_LOBA0_4;17676.534;629.607;2340.959;0.966182;0.459
trunc1_11_LOBA1_4;17680.859;629.210;2340.383;0.960289;0.459
trunc1_11_LOBA2_4;53692.858;1955.830;20849.928;0.951432;0.796
trunc1_12_LOBA0_4;17676.534;629.607;2340.959;0.966344;0.459
trunc1_12_LOBA1_4;17680.859;629.210;2340.383;0.960832;0.473
trunc1_12_LOBA2_4;52666.024;1915.100;19841.736;0.950174;0.802
trunc1_13_LOBA0_4;17676.534;629.607;2340.959;0.966748;0.470
trunc1_13_LOBA1_4;17680.859;629.210;2340.383;0.960866;0.505
trunc1_14_LOBA0_4;17676.534;629.607;2340.959;0.963605;0.539
trunc1_14_LOBA1_4;17680.859;629.210;2340.383;0.957804;0.546
